ObsNo	MLCO2
1	14.88
2	15.62
3	16.33
4	17.59
5	17.93
6	17.71
7	15.92
8	15.15
9	14.02
10	12.83
11	13.64
12	14.71
13	15.62
14	16.59
15	16.94
16	17.77
17	18.29
18	18.24
19	16.67
20	14.96
21	14.12
22	13.58
23	15.14
24	15.77
25	16.62
26	17.16
27	17.9
28	19.21
29	20.02
30	19.74
31	18.15
32	16
33	14.23
34	14.07
35	15.04
36	16.19
37	16.97
38	17.74
39	18.63
40	19.43
41	20.47
42	19.71
43	18.78
44	16.84
45	15.16
46	15.56
47	16.14
48	17.13
49	18.06
50	18.59
51	19.74
52	20.63
53	21.21
54	20.83
55	19.55
56	17.75
57	16.27
58	15.62
59	16.84
60	17.7
61	18.8
62	19.08
63	20.15
64	21.49
65	22.25
66	21.5
67	19.67
68	17.61
69	16.25
70	16.17
71	17.01
72	18.36
73	19.37
74	19.93
75	20.4
76	21.65
77	22.26
78	22.19
79	20.49
80	18.48
81	17.13
82	17.02
83	17.84
84	18.78
85	19.55
86	20.65
87	21.15
88	22.31
89	22.35
90	22.19
91	21.53
92	19.13
93	17.99
94	17.7
95	19.15
96	19.27
97	20.22
98	21.23
99	22.13
100	23.3
101	23.57
102	23.29
103	22.36
104	19.71
105	17.89
106	17.54
107	19.36
108	20.51
109	21.8
110	22.03
111	22.5
112	24
113	24.46
114	23.46
115	22.19
116	20.57
117	18.91
118	18.81
119	20.24
120	21.59
121	22.15
122	22.73
123	23.5
124	24.52
125	25.11
126	25.06
127	23.62
128	21.55
129	19.89
130	19.8
131	20.73
132	22.25
133	23.73
134	24.53
135	25.62
136	26.58
137	27.24
138	26.53
139	25.63
140	23.28
141	22.21
142	21.67
143	22.61
144	24.07
145	24.91
146	25.81
147	26.85
148	28.07
149	27.97
150	27.77
151	26.44
152	24.92
153	23.49
154	23.5
155	24.34
156	25.39
157	26.46
158	26.93
159	27.56
160	28.23
161	29.51
162	29.04
163	27.87
164	26
165	24.06
166	24.2
167	25.48
168	26.62
169	27.3
170	28.2
171	28.5
172	30.22
173	30.58
174	29.48
175	28.56
176	26.77
177	25.39
178	25.72
179	26.97
180	28.09
181	29.16
182	30.02
183	30.95
184	31.95
185	32.85
186	32.58
187	31.3
188	29.64
189	28.12
190	27.67
191	28.69
192	29.07
193	29.84
194	31.17
195	31.94
196	33.2
197	33.55
198	32.76
199	31.79
200	29.61
201	27.88
202	27.85
203	28.79
204	30.13
205	30.64
206	31.21
207	31.88
208	33.13
209	33.76
210	33.74
211	32.05
212	30.4
213	28.89
214	28.55
215	29.57
216	30.83
