"","V1"
"1",81.9
"2",79
"3",122.4
"4",143
"5",133.9
"6",123.5
"7",100
"8",103.7
"9",91.9
"10",79.1
"11",75.1
"12",62.3
"13",61.7
"14",63.2
"15",92.9
"16",115.9
"17",134.2
"18",131.6
"19",126.1
"20",130.2
"21",125.8
"22",137
"23",120.2
"24",83.1
"25",82.7
"26",87.2
"27",128.6
"28",164.9
"29",144.5
"30",142.5
"31",142.3
"32",141
"33",139.5
"34",143.3
"35",129.5
"36",99.3
"37",105.8
"38",94.6
"39",135.6
"40",159.9
"41",157.7
"42",150.5
"43",126.5
"44",127.5
"45",132.9
"46",125.8
"47",97.4
"48",85.3
"49",69.2
"50",77.2
"51",117.8
"52",130.6
"53",127.3
"54",141.9
"55",143.5
"56",131.5
"57",133.8
"58",143.8
"59",128.3
"60",124.1
"61",114.8
"62",104.6
"63",169.3
"64",203.6
"65",203.5
"66",196.8
"67",197
"68",205.9
"69",175.6
"70",181.7
"71",176.4
"72",155.3
"73",150.9
"74",153.6
"75",205.8
"76",213.2
"77",227.9
"78",226.2
"79",207.5
"80",231
"81",204.4
"82",218.2
"83",187.1
"84",152.7
"85",147.3
"86",139.5
"87",201.1
"88",205.4
"89",234.2
"90",203.4
"91",203.2
"92",199.9
"93",148.9
"94",149.5
"95",134.6
"96",90.6
"97",86.2
"98",109.6
"99",127.2
"100",160.9
"101",149.9
"102",149.5
"103",127.2
"104",114
"105",99.6
"106",97.2
"107",75.1
"108",54.9
