ObsNo	SeriesA
1	1.7
2	1.66
3	1.63
4	1.61
5	1.71
6	1.69
7	1.68
8	1.74
9	1.71
10	1.7
11	1.67
12	1.74
13	1.72
14	1.74
15	1.74
16	1.7
17	1.73
18	1.72
19	1.74
20	1.68
21	1.71
22	1.74
23	1.74
24	1.75
25	1.74
26	1.76
27	1.74
28	1.73
29	1.7
30	1.78
31	1.75
32	1.81
33	1.75
34	1.74
35	1.74
36	1.71
37	1.76
38	1.77
39	1.74
40	1.78
41	1.76
42	1.75
43	1.65
44	1.78
45	1.73
46	1.73
47	1.71
48	1.74
49	1.69
50	1.73
51	1.76
52	1.69
53	1.67
54	1.68
55	1.68
56	1.72
57	1.68
58	1.76
59	1.72
60	1.66
61	1.71
62	1.69
63	1.66
64	1.8
65	1.72
66	1.73
67	1.7
68	1.69
69	1.73
70	1.68
71	1.73
72	1.74
73	1.77
74	1.68
75	1.69
76	1.7
77	1.69
78	1.7
79	1.66
80	1.67
81	1.68
82	1.67
83	1.64
84	1.65
85	1.64
86	1.66
87	1.65
88	1.67
89	1.64
90	1.64
91	1.62
92	1.64
93	1.63
94	1.64
95	1.7
96	1.69
97	1.71
98	1.71
99	1.67
100	1.69
101	1.65
102	1.72
103	1.64
104	1.7
105	1.7
106	1.67
107	1.62
108	1.66
109	1.69
110	1.65
111	1.66
112	1.66
113	1.7
114	1.71
115	1.71
116	1.67
117	1.68
118	1.63
119	1.66
120	1.68
121	1.69
122	1.71
123	1.68
124	1.7
125	1.72
126	1.73
127	1.72
128	1.73
129	1.72
130	1.72
131	1.75
132	1.69
133	1.69
134	1.69
135	1.7
136	1.65
137	1.67
138	1.68
139	1.67
140	1.67
141	1.66
142	1.65
143	1.7
144	1.67
145	1.67
146	1.69
147	1.74
148	1.71
149	1.7
150	1.68
151	1.72
152	1.72
153	1.74
154	1.72
155	1.69
156	1.68
157	1.7
158	1.74
159	1.72
160	1.72
161	1.71
162	1.71
163	1.71
164	1.74
165	1.72
166	1.69
167	1.69
168	1.7
169	1.67
170	1.69
171	1.73
172	1.78
173	1.78
174	1.76
175	1.75
176	1.7
177	1.69
178	1.71
179	1.72
180	1.74
181	1.75
182	1.79
183	1.7
184	1.7
185	1.7
186	1.72
187	1.73
188	1.74
189	1.74
190	1.7
191	1.8
192	1.82
193	1.76
194	1.78
195	1.77
196	1.72
197	1.74
