Year	Month	Passengers	ObsNo
1949	1	112	1
1949	2	118	2
1949	3	132	3
1949	4	129	4
1949	5	121	5
1949	6	135	6
1949	7	148	7
1949	8	148	8
1949	9	136	9
1949	10	119	10
1949	11	104	11
1949	12	118	12
1950	1	115	13
1950	2	126	14
1950	3	141	15
1950	4	135	16
1950	5	125	17
1950	6	149	18
1950	7	170	19
1950	8	170	20
1950	9	158	21
1950	10	133	22
1950	11	114	23
1950	12	140	24
1951	1	145	25
1951	2	150	26
1951	3	178	27
1951	4	163	28
1951	5	172	29
1951	6	178	30
1951	7	199	31
1951	8	199	32
1951	9	184	33
1951	10	162	34
1951	11	146	35
1951	12	166	36
1952	1	171	37
1952	2	180	38
1952	3	193	39
1952	4	181	40
1952	5	183	41
1952	6	218	42
1952	7	230	43
1952	8	242	44
1952	9	209	45
1952	10	191	46
1952	11	172	47
1952	12	194	48
1953	1	196	49
1953	2	196	50
1953	3	236	51
1953	4	235	52
1953	5	229	53
1953	6	243	54
1953	7	264	55
1953	8	272	56
1953	9	237	57
1953	10	211	58
1953	11	180	59
1953	12	201	60
1954	1	204	61
1954	2	188	62
1954	3	235	63
1954	4	227	64
1954	5	234	65
1954	6	264	66
1954	7	302	67
1954	8	293	68
1954	9	259	69
1954	10	229	70
1954	11	203	71
1954	12	229	72
1955	1	242	73
1955	2	233	74
1955	3	267	75
1955	4	269	76
1955	5	270	77
1955	6	315	78
1955	7	364	79
1955	8	347	80
1955	9	312	81
1955	10	274	82
1955	11	237	83
1955	12	278	84
1956	1	284	85
1956	2	277	86
1956	3	317	87
1956	4	313	88
1956	5	318	89
1956	6	374	90
1956	7	413	91
1956	8	405	92
1956	9	355	93
1956	10	306	94
1956	11	271	95
1956	12	306	96
1957	1	315	97
1957	2	301	98
1957	3	356	99
1957	4	348	100
1957	5	355	101
1957	6	422	102
1957	7	465	103
1957	8	467	104
1957	9	404	105
1957	10	347	106
1957	11	305	107
1957	12	336	108
1958	1	340	109
1958	2	318	110
1958	3	362	111
1958	4	348	112
1958	5	363	113
1958	6	435	114
1958	7	491	115
1958	8	505	116
1958	9	404	117
1958	10	359	118
1958	11	310	119
1958	12	337	120
1959	1	360	121
1959	2	342	122
1959	3	406	123
1959	4	396	124
1959	5	420	125
1959	6	472	126
1959	7	548	127
1959	8	559	128
1959	9	463	129
1959	10	407	130
1959	11	362	131
1959	12	405	132
1960	1	417	133
1960	2	391	134
1960	3	419	135
1960	4	461	136
1960	5	472	137
1960	6	535	138
1960	7	622	139
1960	8	606	140
1960	9	508	141
1960	10	461	142
1960	11	390	143
1960	12	432	144
